index,name,primaryMuscles,instructions
11,Hip Circles (prone),abductors,"['Position yourself on your hands and knees on the ground. Maintaining good posture, raise one bent knee off of the ground. This will be your starting position.', 'Keeping the knee in a bent position, rotate the femur in an arc, attempting to make a big circle with your knee.', 'Perform this slowly for a number of repetitions, and repeat on the other side.']"
12,IT Band and Glute Stretch,abductors,"['Loop a belt, rope, or band around one of your feet, and swing that leg across your body to the opposite side, keeping the leg extended as you lay on the ground. This will be your starting position.', 'Keeping your foot off of the floor, pull on the belt, using the tension to pull the toes up. Hold for 10-20 seconds, and repeat on the other side.']"
13,Iliotibial Tract-SMR,abductors,"['Lay on your side, with the bottom leg placed onto a foam roller between the hip and the knee. The other leg can be crossed in front of you.', 'Place as much of your weight as is tolerable onto your bottom leg; there is no need to keep your bottom leg in contact with the ground. Be sure to relax the muscles of the leg you are stretching.', 'Roll your leg over the foam from you hip to your knee, pausing for 10-30 seconds at points of tension. Repeat with the opposite leg.']"
14,Lying Crossover,abductors,"['Lie on your back with your legs extended.', 'Cross one leg over your body with the knee bent, attempting to touch the knee to the ground. Your partner should kneel beside you, holding your shoulder down with one hand and controlling the crossed leg with the other. this will be your starting position.', 'Attempt to raise the bent knee off of the ground as your partner prevents any actual movement.', 'After 10-20 seconds, relax the leg as your partner gently presses the knee towards the floor. Repeat with the other side.']"
15,Monster Walk,abductors,"['Place a band around both ankles and another around both knees. There should be enough tension that they are tight when your feet are shoulder width apart.', 'To begin, take short steps forward alternating your left and right foot.', 'After several steps, do just the opposite and walk backward to where you started.']"
16,Standing Hip Circles,abductors,"['Begin standing on one leg, holding to a vertical support.', 'Raise the unsupported knee to 90 degrees. This will be your starting position.', 'Open the hip as far as possible, attempting to make a big circle with your knee.', 'Perform this movement slowly for a number of repetitions, and repeat on the other side.']"
17,Thigh Abductor,abductors,"['To begin, sit down on the abductor machine and select a weight you are comfortable with. When your legs are positioned properly, grip the handles on each side. Your entire upper body (from the waist up) should be stationary. This is the starting position.', 'Slowly press against the machine with your legs to move them away from each other while exhaling.', 'Feel the contraction for a second and begin to move your legs back to the starting position while breathing in. Note: Remember to keep your upper body stationary to prevent any injuries from occurring.', 'Repeat for the recommended amount of repetitions.']"
18,Windmills,abductors,"['Lie on your back with your arms extended out to the sides and your legs straight. This will be your starting position.', 'Lift one leg and quickly cross it over your body, attempting to touch the ground near the opposite hand.', 'Return to the starting position, and repeat with the opposite leg. Continue to alternate for 10-20 repetitions.']"
19,Adductor,adductors,"['Lie face down with one leg on a foam roll.', 'Rotate the leg so that the foam roll contacts against your inner thigh. Shift as much weight onto the foam roll as can be tolerated.', 'While trying to relax the muscles if the inner thigh, roll over the foam between your hip and knee, holding points of tension for 10-30 seconds. Repeat with the other leg.']"
20,Adductor/Groin,adductors,"['Lie on your back with your feet raised towards the ceiling.', 'Have your partner hold your feet or ankles. Abduct your legs as far as you can. This will be your starting position.', 'Attempt to squeeze your legs together for 10 or more seconds, while your partner prevents you from doing so.', 'Now, relax the muscles in your legs as your partner pushes your feet apart, stretching as far as is comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.']"
21,Band Hip Adductions,adductors,"['Anchor a band around a solid post or other object.', 'Stand with your left side to the post, and put your right foot through the band, getting it around the ankle.', 'Stand up straight and hold onto the post if needed. This will be your starting position.', 'Keeping the knee straight, raise your right legs out to the side as far as you can.', 'Return to the starting position and repeat for the desired rep count.', 'Switch sides.']"
22,Carioca Quick Step,adductors,"['Begin with your feet a few inches apart and your left arm up in a relaxed, athletic position.', 'With your right foot, quick step behind and pull the knee up.', 'Fire your arms back up when you pull the right knee, being sure that your knee goes straight up and down. Avoid turning your feet as you move and continue to look forward as you move to the side.']"
23,Groin and Back Stretch,adductors,"['Sit on the floor with your knees bent and feet together.', 'Interlock your fingers behind your head. This will be your starting position.', 'Curl downwards, bringing your elbows to the inside of your thighs. After a brief pause, return to the starting position with your head up and your back straight. Repeat for 10-20 repetitions.']"
24,Groiners,adductors,"['Begin in a pushup position on the floor. This will be your starting position.', 'Using both legs, jump forward landing with your feet next to your hands. Keep your head up as you do so.', 'Return to the starting position and immediately repeat the movement, continuing for 10-20 repetitions.']"
25,Lateral Bound,adductors,"['Assume a half squat position facing 90 degrees from your direction of travel. This will be your starting position.', 'Allow your lead leg to do a countermovement inward as you shift your weight to the outside leg.', 'Immediately push off and extend, attempting to bound to the side as far as possible.', 'Upon landing, immediately push off in the opposite direction, returning to your original start position.', 'Continue back and forth for several repetitions.']"
26,Lateral Box Jump,adductors,"['Assume a comfortable standing position, with a short box positioned next to you. This will be your starting position.', 'Quickly dip into a quarter squat to initiate the stretch reflex, and immediately reverse direction to jump up and to the side.', 'Bring your knees high enough to ensure your feet have good clearance over the box.', 'Land on the center of the box, using your legs to absorb the impact.', 'Carefully jump down to the other side of the box, and continue going back and forth for several repetitions.']"
27,Lateral Cone Hops,adductors,"['Position a number of cones in a row several feet apart.', 'Stand next to the end of the cones, facing 90 degrees to the direction of travel. This will be your starting position.', 'Begin the jump by dipping with the knees to initiate a stretch reflex, and immediately reverse direction to push off the ground, jumping up and sideways over the cone.', 'Use your legs to absorb impact upon landing, and rebound into the next jump, continuing down the row of cones.']"
28,Lying Bent Leg Groin,adductors,"['Lie on your back with your knees bent and the soles of the feet pressed together. Have your partner hold your knees. This will be your starting position.', 'Attempt to squeeze your knees together, while your partner prevents any movement from occurring.', 'After 10-20 seconds, relax your muscles as your partner gently pushes your knees towards the floor. Be sure to inform your helper when the stretch is adequate to prevent injury or overstretching.']"
29,Alternate Hammer Curl,biceps,"['Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso.', 'The palms of the hands should be facing your torso. This will be your starting position.', 'While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move.', 'Slowly begin to bring the dumbbells back to starting position as your breathe in.', 'Repeat the movement with the left hand. This equals one repetition.', 'Continue alternating in this manner for the recommended amount of repetitions.']"
30,Alternate Incline Dumbbell Curl,biceps,"['Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position.', 'While holding the upper arm stationary, curl the right weight forward while contracting the biceps as you breathe out. As you do so, rotate the hand so that the palm is facing up. Continue the movement until your biceps is fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a second as you squeeze the biceps. Tip: Only the forearms should move.', 'Slowly begin to bring the dumbbell back to starting position as your breathe in.', 'Repeat the movement with the left hand. This equals one repetition.', 'Continue alternating in this manner for the recommended amount of repetitions.']"
31,Barbell Curl,biceps,"['Stand up with your torso upright while holding a barbell at a shoulder-width grip. The palm of your hands should be facing forward and the elbows should be close to the torso. This will be your starting position.', 'While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move.', 'Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard.', 'Slowly begin to bring the bar back to starting position as your breathe in.', 'Repeat for the recommended amount of repetitions.']"
32,Barbell Curls Lying Against An Incline,biceps,"['Lie against an incline bench, with your arms holding a barbell and hanging down in a horizontal line. This will be your starting position.', 'While keeping the upper arms stationary, curl the weight up as high as you can while squeezing the biceps. Breathe out as you perform this portion of the movement. Tip: Only the forearms should move. Do not swing the arms.', 'After a second contraction, slowly go back to the starting position as you inhale. Tip: Make sure that you go all of the way down.', 'Repeat for the recommended amount of repetitions.']"
33,Brachialis-SMR,biceps,"['Lie on your side, with your upper arm against the foam roller. The upper arm should be more or less aligned with your body, with the outside of the bicep pressed against the foam roller.', 'Raise your hips off of the floor, supporting your weight on your arm and on your feet. Hold for 10-30 seconds, and then switch sides.']"
34,Cable Hammer Curls - Rope Attachment,biceps,"['Attach a rope attachment to a low pulley and stand facing the machine about 12 inches away from it.', 'Grasp the rope with a neutral (palms-in) grip and stand straight up keeping the natural arch of the back and your torso stationary.', 'Put your elbows in by your side and keep them there stationary during the entire movement. Tip: Only the forearms should move; not your upper arms. This will be your starting position.', 'Using your biceps, pull your arms up as you exhale until your biceps touch your forearms. Tip: Remember to keep the elbows in and your upper arms stationary.', 'After a 1 second contraction where you squeeze your biceps, slowly start to bring the weight back to the original position.', 'Repeat for the recommended amount of repetitions.']"
35,Cable Preacher Curl,biceps,"['Place a preacher bench about 2 feet in front of a pulley machine.', 'Attach a straight bar to the low pulley.', 'Sit at the preacher bench with your elbow and upper arms firmly on top of the bench pad and have someone hand you the bar from the low pulley.', 'Grab the bar and fully extend your arms on top of the preacher bench pad. This will be your starting position.', 'Now start pilling the weight up towards your shoulders and squeeze the biceps hard at the top of the movement. Exhale as you perform this motion. Also, hold for a second at the top.', 'Now slowly lower the weight to the starting position.', 'Repeat for the recommended amount of repetitions.']"
36,Close-Grip EZ-Bar Curl with Band,biceps,"['Attach a band to each end of the bar. Take the bar, placing a foot on the middle of the band. Stand upright with a narrow, supinated grip on the EZ bar. The elbows should be close to the torso. This will be your starting position.', 'While keeping the upper arms in place, flex the elbows to execute the curl. Exhale as the weight is lifted.', 'Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard.', 'Slowly begin to bring the bar back to starting position as your breathe in.', 'Repeat for the recommended amount of repetitions.']"
37,Close-Grip EZ Bar Curl,biceps,"['Stand up with your torso upright while holding an E-Z Curl Bar at the closer inner handle. The palm of your hands should be facing forward and they should be slightly tilted inwards due to the shape of the bar. The elbows should be close to the torso. This will be your starting position.', 'While holding the upper arms stationary, curl the weights forward while contracting the biceps as you breathe out. Tip: Only the forearms should move.', 'Continue the movement until your biceps are fully contracted and the bar is at shoulder level. Hold the contracted position for a second and squeeze the biceps hard.', 'Slowly begin to bring the bar back to starting position as your breathe in.', 'Repeat for the recommended amount of repetitions.']"
38,Close-Grip Standing Barbell Curl,biceps,"['Hold a barbell with both hands, palms up and a few inches apart.', 'Stand with your torso straight and your head up. Your feet should be about shoulder width and your elbows close to your torso. This will be your starting position. Tip: You will keep your upper arms and elbows stationary throughout the movement.', 'Curl the bar up in a semicircular motion until the forearms touch your biceps. Exhale as you perform this portion of the movement and contract your biceps hard for a second at the top. Tip: Avoid bending the back or using swinging motions as you lift the weight. Only the forearms should move.', 'Slowly go back down to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.']"
39,Ankle Circles,calves,"['Use a sturdy object like a squat rack to hold yourself.', 'Lift the right leg in the air (just around 2 inches from the floor) and perform a circular motion with the big toe. Pretend that you are drawing a big circle with it. Tip: One circle equals 1 repetition. Breathe normally as you perform the movement.', 'When you are done with the right foot, then repeat with the left leg.']"
40,Anterior Tibialis-SMR,calves,"['Begin seated on the ground with your legs bent and your feet on the floor.', 'Using a Muscle Roller or a rolling pin, apply pressure to the muscles on the outside of your shins. Work from just below the knee to above the ankle, pausing at points of tension for 10-30 seconds. Repeat on the other leg.']"
41,Balance Board,calves,"['Place a balance board in front of you.', 'Stand up on it and try to balance yourself.', 'Hold the balance for as long as desired.']"
42,Barbell Seated Calf Raise,calves,"['Place a block about 12 inches in front of a flat bench.', 'Sit on the bench and place the ball of your feet on the block.', 'Have someone place a barbell over your upper thighs about 3 inches above your knees and hold it there. This will be your starting position.', 'Raise up on your toes as high as possible as you squeeze the calves and as you breathe out.', 'After a second contraction, slowly go back to the starting position. Tip: To get maximum benefit stretch your calves as far as you can.', 'Repeat for the recommended amount of repetitions.']"
43,Calf Press,calves,"['Adjust the seat so that your legs are only slightly bent in the start position. The balls of your feet should be firmly on the platform.', 'Select an appropriate weight, and grasp the handles. This will be your starting position.', 'Straighten the legs by extending the knees, just barely lifting the weight from the stack. Your ankle should be fully flexed, toes pointing up. Execute the movement by pressing downward through the balls of your feet as far as possible.', 'After a brief pause, reverse the motion and repeat.']"
44,Calf Press On The Leg Press Machine,calves,"['Using a leg press machine, sit down on the machine and place your legs on the platform directly in front of you at a medium (shoulder width) foot stance.', 'Lower the safety bars holding the weighted platform in place and press the platform all the way up until your legs are fully extended in front of you without locking your knees. (Note: In some leg press units you can leave the safety bars on for increased safety. If your leg press unit allows for this, then this is the preferred method of performing the exercise.) Your torso and the legs should make perfect 90-degree angle. Now carefully place your toes and balls of your feet on the lower portion of the platform with the heels extending off. Toes should be facing forward, outwards or inwards as described at the beginning of the chapter. This will be your starting position.', 'Press on the platform by raising your heels as you breathe out by extending your ankles as high as possible and flexing your calf. Ensure that the knee is kept stationary at all times. There should be no bending at any time. Hold the contracted position by a second before you start to go back down.', 'Go back slowly to the starting position as you breathe in by lowering your heels as you bend the ankles until calves are stretched.', 'Repeat for the recommended amount of repetitions.']"
45,Calf Raise On A Dumbbell,calves,"['Hang on to a sturdy object for balance and stand on a dumbbell handle, preferably one with round plates so that it rolls as in this manner you have to work harder to stabilize yourself; thus increasing the effectiveness of the exercise.', 'Now roll your foot slightly forward so that you can get a nice stretch of the calf. This will be your starting position.', 'Lift the calf as you roll your foot over the top of the handle so that you get a full extension. Exhale during the execution of this movement. Contract the calf hard at the top and hold for a second. Tip: As you come up, roll the dumbbell slightly backward.', 'Now inhale as you roll the dumbbell slightly forward as you come down to get a better stretch.', 'Repeat for the recommended amount of repetitions.']"
46,Calf Raises - With Bands,calves,"['Grab an exercise band and stand on it with your toes making sure that the length of the band between the foot and the arms is the same for both sides.', 'While holding the handles of the band, raise the arms to the side of your head as if you were getting ready to perform a shoulder press. The palms should be facing forward with the elbows bent and to the sides. This movement will create tension on the band. This will be your starting position.', 'Keeping the hands by your shoulder, stand up on your toes as you exhale and contract the calves hard at the top of the movement.', 'After a one second contraction, slowly go back down to the starting position.', 'Repeat for the recommended amount of repetitions.']"
47,Calf Stretch Elbows Against Wall,calves,"['Stand facing a wall from a couple feet away.', 'Lean against the wall, placing your weight on your forearms.', 'Attempt to keep your heels on the ground. Hold for 10-20 seconds. You may move further or closer the wall, making it more or less difficult, respectively.']"
48,Calf Stretch Hands Against Wall,calves,"['Stand facing a wall from several feet away. Stagger your stance, placing one foot forward.', 'Lean forward and rest your hands on the wall, keeping your heel, hip and head in a straight line.', 'Attempt to keep your heel on the ground. Hold for 10-20 seconds and then switch sides.']"
49,Alternating Floor Press,chest,"['Lie on the floor with two kettlebells next to your shoulders.', 'Position one in place on your chest and then the other, gripping the kettlebells on the handle with the palms facing forward.', 'Extend both arms, so that the kettlebells are being held above your chest. Lower one kettlebell, bringing it to your chest and turn the wrist in the direction of the locked out kettlebell.', 'Raise the kettlebell and repeat on the opposite side.']"
50,Around The Worlds,chest,"['Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position.', 'Now move the dumbbells by creating a semi-circle as you displace them from the initial position to over the head. All of the movement should happen with the arms parallel to the floor at all times. Breathe in as you perform this portion of the movement.', 'Reverse the movement to return the weight to the starting position as you exhale.']"
51,Barbell Bench Press - Medium Grip,chest,"['Lie back on a flat bench. Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.', 'From the starting position, breathe in and begin coming down slowly until the bar touches your middle chest.', 'After a brief pause, push the bar back to the starting position as you breathe out. Focus on pushing the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position at the top of the motion, hold for a second and then start coming down slowly again. Tip: Ideally, lowering the weight should take about twice as long as raising it.', 'Repeat the movement for the prescribed amount of repetitions.', 'When you are done, place the bar back in the rack.']"
52,Barbell Guillotine Bench Press,chest,"['Using a medium width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position.', 'As you breathe in, bring the bar down slowly until it is about 1 inch from your neck.', 'After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. It should take at least twice as long to go down than to come up.', 'Repeat the movement for the prescribed amount of repetitions.', 'When you are done, place the bar back in the rack.']"
53,Barbell Incline Bench Press - Medium Grip,chest,"['Lie back on an incline bench. Using a medium-width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over you with your arms locked. This will be your starting position.', 'As you breathe in, come down slowly until you feel the bar on you upper chest.', 'After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms in the contracted position, squeeze your chest, hold for a second and then start coming down slowly again. Tip: it should take at least twice as long to go down than to come up.', 'Repeat the movement for the prescribed amount of repetitions.', 'When you are done, place the bar back in the rack.']"
54,Behind Head Chest Stretch,chest,"['Sit upright on the floor with your partner behind you.', 'Place your hands behind your hand, and push your elbows back as far as you can. Your partner should hold your elbows. This will be your starting position.', 'Gently attempt to pull your elbows forward with your hands still behind your head for 10 or more seconds. Your partner should prevent your elbows from moving.', 'Now, relax your muscles and have your partner gently pull the elbows back as far as it comfortable for you. Be sure to let your partner know when the stretch is adequate to prevent overstretching or injury.']"
55,Bench Press - With Bands,chest,"['Using a flat bench secure a band under the leg of the bench that is nearest to your head.', 'Once the band is secure, grab it by both handles and lie down on the bench.', 'Extend your arms so that you are holding the band handles in front of you at shoulder width.', 'Once at shoulder width, rotate your wrists forward so that the palms of your hands are facing away from you. This will be your starting position.', 'Bring down the handles slowly until your elbow forms a 90 degree angle. Keep full control at all times.', 'As you breathe out, bring the handles up using your pectoral muscles. Lock your arms in the contracted position, squeeze your chest, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up.', 'Repeat the movement for the prescribed amount of repetitions of your training program.']"
56,Bent-Arm Dumbbell Pullover,chest,"['Place a dumbbell standing up on a flat bench.', 'Ensuring that the dumbbell stays securely placed at the top of the bench, lie perpendicular to the bench (torso across it as in forming a cross) with only your shoulders lying on the surface. Hips should be below the bench and legs bent with feet firmly on the floor. The head will be off the bench as well.', 'Grasp the dumbbell with both hands and hold it straight over your chest with a bend in your arms. Both palms should be pressing against the underside one of the sides of the dumbbell. This will be your starting position. Caution: Always ensure that the dumbbell used for this exercise is secure. Using a dumbbell with loose plates can result in the dumbbell falling apart and falling on your face.', 'While keeping your arms locked in the bent arm position, lower the weight slowly in an arc behind your head while breathing in until you feel a stretch on the chest.', 'At that point, bring the dumbbell back to the starting position using the arc through which the weight was lowered and exhale as you perform this movement.', 'Hold the weight on the initial position for a second and repeat the motion for the prescribed number of repetitions.']"
57,Bodyweight Flyes,chest,"['Position two equally loaded EZ bars on the ground next to each other. Ensure they are able to roll.', 'Assume a push-up position over the bars, supporting your weight on your toes and hands with your arms extended and body straight.', 'Place your hands on the bars. This will be your starting position.', 'Using a slow and controlled motion, move your hands away from the midline of your body, rolling the bars apart. Inhale during this portion of the motion.', 'After moving the bars as far apart as you can, return to the starting position by pulling them back together. Exhale as you perform this movement.']"
58,Butterfly,chest,"['Sit on the machine with your back flat on the pad.', 'Take hold of the handles. Tip: Your upper arms should be positioned parallel to the floor; adjust the machine accordingly. This will be your starting position.', 'Push the handles together slowly as you squeeze your chest in the middle. Breathe out during this part of the motion and hold the contraction for a second.', 'Return back to the starting position slowly as you inhale until your chest muscles are fully stretched.', 'Repeat for the recommended amount of repetitions.']"
59,Bottoms-Up Clean From The Hang Position,forearms,"['Initiate the exercise by standing upright with a kettlebell in one hand.', 'Swing the kettlebell back forcefully and then reverse the motion forcefully. Crush the kettlebell handle as hard as possible and raise the kettlebell to your shoulder.']"
60,Cable Wrist Curl,forearms,"['Start out by placing a flat bench in front of a low pulley cable that has a straight bar attachment.', 'Use your arms to grab the cable bar with a narrow to shoulder width supinated grip (palms up) and bring them up so that your forearms are resting against the top of your thighs. Your wrists should be hanging just beyond your knees.', 'Start out by curling your wrist upwards and exhaling. Keep the contraction for a second.', 'Slowly lower your wrists back down to the starting position while inhaling.', 'Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.', 'Repeat for the recommended amount of repetitions.']"
61,Dumbbell Lying Pronation,forearms,"['Lie on a flat bench face down with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.', 'Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm.', 'Now raise the upper arm so that the forearm is perpendicular to the floor and the upper arm is perpendicular to your torso. Tip: The upper arm should be parallel to the floor and also creating a 90-degree angle with your torso. This will be your starting position.', 'As you breathe out, externally rotate your forearm so that the dumbbell is lifted forward as you maintain the 90 degree angle bend between the upper arms and the forearm. You will continue this external rotation until the forearm is parallel to the floor. At this point you will hold the contraction for a second.', 'As you breathe in, slowly go back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
62,Dumbbell Lying Supination,forearms,"['Lie sideways on a flat bench with one arm holding a dumbbell and the other hand on top of the bench folded so that you can rest your head on it.', 'Bend the elbows of the arm holding the dumbbell so that it creates a 90-degree angle between the upper arm and the forearm.', 'Now raise the upper arm so that the forearm is parallel to the floor and perpendicular to your torso (Tip: So the forearm will be directly in front of you). The upper arm will be stationary by your torso and should be parallel to the floor (aligned with your torso at all times). This will be your starting position.', 'As you breathe out, externally rotate your forearm so that the dumbbell is lifted up in a semicircle motion as you maintain the 90 degree angle bend between the upper arms and the forearm. You will continue this external rotation until the forearm is perpendicular to the floor and the torso pointing towards the ceiling. At this point you will hold the contraction for a second.', 'As you breathe in, slowly go back to the starting position.', 'Repeat for the recommended amount of repetitions and then switch to the other arm.']"
63,Farmer's Walk,forearms,"[""There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. Begin by standing between the implements."", 'After gripping the handles, lift them up by driving through your heels, keeping your back straight and your head up.', ""Walk taking short, quick steps, and don't forget to breathe. Move for a given distance, typically 50-100 feet, as fast as possible.""]"
64,Finger Curls,forearms,"['Hold a barbell with both hands and your palms facing up; hands spaced about shoulder width.', 'Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart. This will be your starting position.', 'Lower the bar as far as possible by extending the fingers. Allowing the bar to roll down the hands, catch the bar with the final joint in the fingers.', 'Now curl bar up as high as possible by closing your hands while exhaling. Hold the contraction at the top.']"
65,Kneeling Forearm Stretch,forearms,"['Start by kneeling on a mat with your palms flat and your fingers pointing back toward your knees.', 'Slowly lean back keeping your palms flat on the floor until you feel a stretch in your wrists and forearms. Hold for 20-30 seconds.']"
66,Palms-Down Dumbbell Wrist Curl Over A Bench,forearms,"['Start out by placing two dumbbells on one side of a flat bench.', 'Kneel down on both of your knees so that your body is facing the flat bench.', 'Use your arms to grab both of the dumbbells with a pronated grip (palms facing down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.', 'Start out by curling your wrist upwards and exhaling.', 'Slowly lower your wrists back down to the starting position while inhaling.', 'Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.', 'Repeat for the recommended amount of repetitions.']"
